"","subject","sessionIndex","rep","H.period","DD.period.t","UD.period.t","H.t","DD.t.i","UD.t.i","H.i","DD.i.e","UD.i.e","H.e","DD.e.five","UD.e.five","H.five","DD.five.Shift.r","UD.five.Shift.r","H.Shift.r","DD.Shift.r.o","UD.Shift.r.o","H.o","DD.o.a","UD.o.a","H.a","DD.a.n","UD.a.n","H.n","DD.n.l","UD.n.l","H.l","DD.l.Return","UD.l.Return","H.Return"
"351","s002",8,1,0.1391,0.3573,0.2182,0.1481,0.2181,0.07,0.0921,0.1742,0.0821,0.1283,0.5207,0.3924,0.0808,0.4598,0.379,0.1265,0.2653,0.1388,0.1072,0.1134,0.0062,0.1613,0.1888,0.0275,0.108,0.3157,0.2077,0.104,0.2387,0.1347,0.1022
"352","s002",8,2,0.1399,0.2728,0.1329,0.1354,0.1893,0.0539,0.0958,0.1051,0.0093,0.1024,0.4858,0.3834,0.1016,0.4714,0.3698,0.1402,0.2358,0.0956,0.1148,0.1236,0.0088,0.1473,0.1917,0.0444,0.1061,0.2747,0.1686,0.1188,0.2739,0.1551,0.1053
"353","s002",8,3,0.1278,0.1913,0.0635,0.1059,0.1109,0.005,0.0927,0.1136,0.0209,0.0879,0.4075,0.3196,0.1159,0.6807,0.5648,0.1716,0.2621,0.0905,0.1095,0.1239,0.0144,0.1533,0.2172,0.0639,0.0876,0.1834,0.0958,0.1473,0.3185,0.1712,0.1095
"354","s002",8,4,0.1365,0.4312,0.2947,0.1552,0.1634,0.0082,0.1152,0.1138,-0.0014,0.0962,0.449,0.3528,0.1014,0.492,0.3906,0.1511,0.2725,0.1214,0.114,0.1231,0.0091,0.1505,0.1492,-0.0013,0.1019,0.1713,0.0694,0.137,0.2525,0.1155,0.119
"355","s002",8,5,0.1428,0.2256,0.0828,0.0961,0.1199,0.0238,0.1154,0.1344,0.019,0.0998,0.3573,0.2575,0.1051,0.5367,0.4316,0.1502,0.2093,0.0591,0.1053,0.1202,0.0149,0.1513,0.07,-0.0813,0.1115,0.1669,0.0554,0.142,0.2984,0.1564,0.1132
"356","s002",8,6,0.1734,0.2166,0.0432,0.1454,0.1272,-0.0182,0.1193,0.1452,0.0259,0.1233,0.5761,0.4528,0.0966,0.4744,0.3778,0.1431,0.1719,0.0288,0.1278,0.1809,0.0531,0.1278,0.1867,0.0589,0.1032,0.4312,0.328,0.1109,0.2702,0.1593,0.0993
"357","s002",8,7,0.1402,0.2109,0.0707,0.1114,0.1529,0.0415,0.0832,0.1439,0.0607,0.1219,0.6312,0.5093,0.1022,0.4287,0.3265,0.1539,0.2025,0.0486,0.1376,0.1141,-0.0235,0.1608,0.1331,-0.0277,0.109,0.1583,0.0493,0.1367,0.2638,0.1271,0.1446
"358","s002",8,8,0.1446,0.1736,0.029,0.1314,0.1591,0.0277,0.0993,0.0549,-0.0444,0.1811,0.9202,0.7391,0.1504,0.8775,0.7271,0.1307,0.1632,0.0325,0.1148,0.1365,0.0217,0.1864,0.1038,-0.0826,0.1215,0.2094,0.0879,0.1483,0.263,0.1147,0.1399
"359","s002",8,9,0.1615,0.2398,0.0783,0.1241,0.1534,0.0293,0.0942,0.1233,0.0291,0.1093,0.4331,0.3238,0.1533,0.4894,0.3361,0.1613,0.2381,0.0768,0.1032,0.1044,0.0012,0.1639,0.293,0.1291,0.2185,0.3214,0.1029,0.1243,0.3087,0.1844,0.1161
"360","s002",8,10,0.1682,0.1654,-0.0028,0.1302,0.1859,0.0557,0.1169,0.1204,0.0035,0.1336,0.3959,0.2623,0.1117,0.4491,0.3374,0.1199,0.1624,0.0425,0.1594,0.1693,0.0099,0.1486,0.1547,0.0061,0.1288,0.1613,0.0325,0.1354,0.2522,0.1168,0.1404
