session.id,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
11427,1,0.1475,0.1894,0.0419,0.1135,0.1341,0.0206,0.1098,0.1217,0.0119,0.1003,0.3834,0.2831,0.0631,0.6675,0.6044,0.1388,0.2183,0.0795,0.1383,0.1463,0.008,0.1425,0.1447,0.0022,0.1014,0.1505,0.0491,0.1143,0.2607,0.1464,0.0966
11427,3,0.1296,0.1707,0.0411,0.1235,0.1439,0.0204,0.1154,0.1371,0.0217,0.0932,0.2824,0.1892,0.0919,0.3735,0.2816,0.127,0.2943,0.1673,0.1183,0.1643,0.046,0.1307,0.1212,-0.0095,0.0858,0.1402,0.0544,0.1066,0.2355,0.1289,0.0818
11427,4,0.1293,0.1788,0.0495,0.1534,0.1359,-0.0175,0.1173,0.139,0.0217,0.1061,0.285,0.1789,0.0905,0.3286,0.2381,0.123,0.1885,0.0655,0.1505,0.1194,-0.0311,0.1387,0.121,-0.0177,0.1146,0.1634,0.0488,0.1077,0.2266,0.1189,0.0945
11427,5,0.1336,0.1618,0.0282,0.137,0.1758,0.0388,0.1312,0.1468,0.0156,0.1119,0.2219,0.11,0.1051,0.9072,0.8021,0.1349,0.398,0.2631,0.1431,0.1577,0.0146,0.1299,0.1143,-0.0156,0.0993,0.1447,0.0454,0.0884,0.2078,0.1194,0.0895
11427,7,0.1328,0.1393,0.0065,0.1317,0.1383,0.0066,0.1352,0.0903,-0.0449,0.1294,0.1843,0.0549,0.1061,0.6899,0.5838,0.1347,0.2519,0.1172,0.1433,0.1587,0.0154,0.1394,0.1336,-0.0058,0.1265,0.1629,0.0364,0.1243,0.2469,0.1226,0.0871
11427,8,0.1302,0.1248,-0.0054,0.1462,0.1565,0.0103,0.1297,0.108,-0.0217,0.1165,0.1967,0.0802,0.0953,0.384,0.2887,0.1257,0.2186,0.0929,0.1172,0.1184,0.0012,0.1299,0.1032,-0.0267,0.1051,0.1542,0.0491,0.1059,0.2499,0.144,0.1011
11427,11,0.1716,0.1432,-0.0284,0.1406,0.1276,-0.013,0.1466,0.0988,-0.0478,0.1183,0.1837,0.0654,0.0528,0.2669,0.2141,0.1263,0.1891,0.0628,0.1199,0.1009,-0.019,0.1387,0.0743,-0.0644,0.1249,0.1508,0.0259,0.1053,0.2192,0.1139,0.0863
11427,12,0.1217,0.1435,0.0218,0.1386,0.1439,0.0053,0.1544,0.1782,0.0238,0.0879,0.0948,0.0069,0.0813,0.3295,0.2482,0.1087,0.2032,0.0945,0.0995,0.0721,-0.0274,0.131,0.1141,-0.0169,0.1125,0.1336,0.0211,0.0977,0.2214,0.1237,0.0861
11427,13,0.1916,0.1857,-0.0059,0.1328,0.1299,-0.0029,0.1227,0.261,0.1383,0.1093,0.2494,0.1401,0.1478,0.4294,0.2816,0.1246,0.1769,0.0523,0.1204,0.1057,-0.0147,0.1209,0.0837,-0.0372,0.1212,0.1486,0.0274,0.1029,0.2176,0.1147,0.0892
11427,15,0.1636,0.1683,0.0047,0.1254,0.1898,0.0644,0.1,0.1346,0.0346,0.0871,0.4075,0.3204,0.1056,0.363,0.2574,0.1239,0.1899,0.066,0.0985,0.0943,-0.0042,0.1373,0.0824,-0.0549,0.1064,0.1502,0.0438,0.1072,0.2324,0.1252,0.0779
11427,19,0.1294,0.0963,-0.0331,0.1249,0.1336,0.0087,0.1223,0.0774,-0.0449,0.1573,0.442,0.2847,0.1125,0.7689,0.6564,0.0785,0.1801,0.1016,0.0932,0.0959,0.0027,0.1415,0.0721,-0.0694,0.117,0.1603,0.0433,0.0808,0.1929,0.1121,0.1003
11427,20,0.1587,0.1179,-0.0408,0.1334,0.1456,0.0122,0.1133,0.0871,-0.0262,0.1091,0.1811,0.072,0.0948,0.3017,0.2069,0.123,0.1853,0.0623,0.1265,0.083,-0.0435,0.1426,0.1302,-0.0124,0.0988,0.1476,0.0488,0.118,0.2406,0.1226,0.0723
